Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
DardGo Anti-Itch Free Cream – Ayurvedic Relief for Itching & Skin Irritations (30gm),dardgo-anti-itch-free-cream-ayurvedic-relief-for-itching-skin-irritations-30gm,<p>DardGo Anti-Itch Free Cream – Ayurvedic Relief for Itching & Skin Irritations (30gm)</p>,DARDGO,Health & Beauty > Personal Care > Cosmetics > Skin Care,Cream,"Ayurvedic, csv-import, category-ayurvedic-beauty",TRUE,Active,DGIFC-30G-PK2,,Size,30 G,,,,,,,,200.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DardGo Anti-Itch Free Cream – Ayurvedic Relief for Itching & Skin Irri,DardGo Anti-Itch Free Cream – Ayurvedic Relief for Itching & Skin Irritations (30gm),,,,,,,,,,,,,,
DARDGO Ayurvedic Sugar Control Powder | Diabetes Care Support | 100% Natural Formulation | 120 gm,dardgo-ayurvedic-sugar-control-powder-diabetes-care-support-100-natural-formulation-120-gm,<p>DARDGO Ayurvedic Sugar Control Powder | Diabetes Care Support | 100% Natural Formulation | 120 gm</p>,DARDGO,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Herbal Supplements,Powder,"Ayurvedic, csv-import, category-ayurvedic-powder",TRUE,Active,DGSCP-100G,,Size,100 G,,,,,,,,200.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Ayurvedic Sugar Control Powder | Diabetes Care Support | 100% N,DARDGO Ayurvedic Sugar Control Powder | Diabetes Care Support | 100% Natural Formulation | 120 gm,,,,,,,,,,,,,,
"DARDGO Ayurvedic Dant Manjan Powder | Herbal Tooth Powder for Healthy Gums & Fresh Breath | Natural Dental Care for Gingivitis, Sensitivity Relief & Bad Breath | Pack of 3 (50g Each)",dardgo-ayurvedic-dant-manjan-powder-herbal-tooth-powder-for-healthy-gums-fresh-breath-natural-de,"<p>DARDGO Ayurvedic Dant Manjan Powder | Herbal Tooth Powder for Healthy Gums & Fresh Breath | Natural Dental Care for Gingivitis, Sensitivity Relief & Bad Breath | Pack of 3 (50g Each)</p>",DARDGO,Health & Beauty > Personal Care > Oral Care > Toothpaste,Powder,"Ayurvedic, csv-import, category-ayurvedic-powder",TRUE,Active,DGDM-MANJ-PK3,,Size,150 G,,,,,,,,180.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Ayurvedic Dant Manjan Powder | Herbal Tooth Powder for Healthy ,"DARDGO Ayurvedic Dant Manjan Powder | Herbal Tooth Powder for Healthy Gums & Fresh Breath | Natural Dental Care for Gingivitis, Sensitivity Relief & Bad Breath | Pack of 3 (50g Each)",,,,,,,,,,,,,,
DARDGO Ayurvedic Skin Glow Syrup -  Natural Blood Purifier for Healthy Skin | 200 ml,dardgo-ayurvedic-skin-glow-syrup-natural-blood-purifier-for-healthy-skin-200-ml,<p>DARDGO Ayurvedic Skin Glow Syrup -  Natural Blood Purifier for Healthy Skin | 200 ml</p>,DARDGO,Health & Beauty > Personal Care > Cosmetics > Skin Care > Acne Treatments & Kits,Syrup,"Ayurvedic, csv-import, category-ayurvedic-beauty",TRUE,Active,DGSG-SKNGLO,,Size,100 ML,,,,,,,,200.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Ayurvedic Skin Glow Syrup -  Natural Blood Purifier for Healthy,DARDGO Ayurvedic Skin Glow Syrup -  Natural Blood Purifier for Healthy Skin | 200 ml,,,,,,,,,,,,,,
DARDGO Ayurvedic Sciatica Tablets for Joint Comfort & Flexibility | 60 Tablets,dardgo-ayurvedic-sciatica-tablets-for-joint-comfort-flexibility-60-tablets,<p>DARDGO Ayurvedic Sciatica Tablets for Joint Comfort & Flexibility | 60 Tablets</p>,DARDGO,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements > Herbal Supplements,Tablets,"Ayurvedic, csv-import, category-ayurvedic-tablets",TRUE,Active,DGST-60TB,,Qty,60 TAB,,,,,,,,200.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Ayurvedic Sciatica Tablets for Joint Comfort & Flexibility | 60,DARDGO Ayurvedic Sciatica Tablets for Joint Comfort & Flexibility | 60 Tablets,,,,,,,,,,,,,,
DARDGO Ayurvedic Pain Relief Roll-On -  Joint & Muscle Support | 60 ml,dardgo-ayurvedic-pain-relief-roll-on-joint-muscle-support-60-ml,<p>DARDGO Ayurvedic Pain Relief Roll-On -  Joint & Muscle Support | 60 ml</p>,DARDGO,Health & Beauty > Personal Care > Massage & Relaxation,Roll-on,"Ayurvedic, csv-import, category-pain-relief-oils",TRUE,Active,DGO-RO-60ML,,Size,60 ML,,,,,,,,150.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Ayurvedic Pain Relief Roll-On -  Joint & Muscle Support | 60 ml,DARDGO Ayurvedic Pain Relief Roll-On -  Joint & Muscle Support | 60 ml,,,,,,,,,,,,,,
DARDGO Herbal Pain Relief Massage Oil -  Supports Muscle Relaxation & Care,dardgo-herbal-pain-relief-massage-oil-supports-muscle-relaxation-care,<p>DARDGO Herbal Pain Relief Massage Oil -  Supports Muscle Relaxation & Care</p>,DARDGO,Health & Beauty > Personal Care > Massage & Relaxation > Massage Oil,Pain Relief Oil,"Ayurvedic, csv-import, category-pain-relief-oils",TRUE,Active,DGO-200ML,,Size,200 ML,,,,,,,,350.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,DARDGO Herbal Pain Relief Massage Oil -  Supports Muscle Relaxation & ,DARDGO Herbal Pain Relief Massage Oil -  Supports Muscle Relaxation & Care,,,,,,,,,,,,,,
,dardgo-herbal-pain-relief-massage-oil-supports-muscle-relaxation-care,,,,,,,,DGO-120ML,,,120 ML,,,,,,,,200.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,dardgo-herbal-pain-relief-massage-oil-supports-muscle-relaxation-care,,,,,,,,DGO-70ML,,,70 ML,,,,,,,,150.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,dardgo-herbal-pain-relief-massage-oil-supports-muscle-relaxation-care,,,,,,,,DGO-50ML,,,50 ML,,,,,,,,100.00,,,TRUE,,,,,,shopify,50,DENY,400,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
